resort_slug,resort_name,state_code,state_name,country_code,country_name,is_active,is_region
snow-summit-us,Snow Summit,CA,CA,US,United States,True,False
snow-trails-us,Snow Trails,OH,OH,US,United States,True,False
snow-valley-us,Snow Valley,CA,CA,US,United States,True,False
snowbasin-us,Snowbasin,UT,UT,US,United States,True,False
snowbird-us,Snowbird,UT,UT,US,United States,True,False
snowhaven-us,Snowhaven,ID,ID,US,United States,True,False
snowshoe-us,Snowshoe,WV,WV,US,United States,True,False
snowy-range-us,Snowy Range,WY,WY,US,United States,True,False
soda-springs-us,Soda Springs,CA,CA,US,United States,True,False
slden-at,Sölden,Tyrol,Tyrol,AT,Austria,True,False
soldier-mountain-us,Soldier Mountain,ID,ID,US,United States,True,False
solitude-us,Solitude,UT,UT,US,United States,True,False
song-mountain-us,Song Mountain,NY,NY,US,United States,True,False
spindleruv-mlyn-cz,Spindleruv Mlyn,Hradec Kralove,Hradec Kralove,CZ,Czech Republic,True,False
spirit-mountain-us,Spirit Mountain,MN,MN,US,United States,True,False
spitzingseetegernsee-de,Spitzingsee–Tegernsee,Bavaria,Bavaria,DE,Germany,True,False
spout-springs-us,Spout Springs,OR,OR,US,United States,True,False
spring-mountain-us,Spring Mountain,PA,PA,US,United States,True,False
st-anton-am-arlberg-at,St. Anton am Arlberg,Tyrol,Tyrol,AT,Austria,True,False
st-moritz-ch,St. Moritz,Graubünden,Graubünden,CH,Switzerland,True,False
standing-rocks-us,Standing Rocks,WI,WI,US,United States,True,False
steamboat-us,Steamboat,CO,CO,US,United States,True,False
stevens-pass-us,Stevens Pass,WA,WA,US,United States,True,False
stoneham-ca,Stoneham,QC,QC,CA,Canada,True,False
storrs-hill-us,Storrs Hill,NH,NH,US,United States,True,False
stowe-us,Stowe,VT,VT,US,United States,True,False
stranda-no,Stranda,Norway,Norway,NO,Norway,True,False
stratton-us,Stratton,VT,VT,US,United States,True,False
strbske-pleso-sk,Strbske Pleso,PreSOV,PreSOV,SK,Slovakia,True,False
sudelfeld-de,Sudelfeld,Bavaria,Bavaria,DE,Germany,True,False
sugar-bowl-us,Sugar Bowl,CA,CA,US,United States,True,False
sugar-hill-us,Sugar Hill,NY,NY,US,United States,True,False
sugar-mountain-us,Sugar Mountain,NC,NC,US,United States,True,False
sugarbush-us,Sugarbush,VT,VT,US,United States,True,False
sugarloaf-us,Sugarloaf,ME,ME,US,United States,True,False
suicide-six-us,Suicide Six,VT,VT,US,United States,True,False
summit-us,Summit,OR,OR,US,United States,True,False
sun-peaks-ca,Sun Peaks,BC,BC,CA,Canada,True,False
sun-valley-us,Sun Valley,ID,ID,US,United States,True,False
sunburst-us,Sunburst,WI,WI,US,United States,True,False
sundance-us,Sundance,UT,UT,US,United States,True,False
sunday-river-us,Sunday River,ME,ME,US,United States,True,False
sundown-mountain-us,Sundown Mountain,IA,IA,US,United States,True,False
sunlight-us,Sunlight,CO,CO,US,United States,True,False
sunrise-park-us,Sunrise Park,AZ,AZ,US,United States,True,False
sunshine-village-ca,Sunshine Village,AB,AB,CA,Canada,True,False
swain-us,Swain,NY,NY,US,United States,True,False
swiss-valley-us,Swiss Valley,MI,MI,US,United States,True,False
table-mountain-ca,Table Mountain,SK,SK,CA,Canada,True,False
tahoe-donner-downhill-us,Tahoe Donner Downhill,CA,CA,US,United States,True,False
tamarack-us,Tamarack,ID,ID,US,United States,True,False
taos-us,Taos,NM,NM,US,United States,True,False
telemark-lodge-us,Telemark Lodge,WI,WI,US,United States,True,False
telluride-us,Telluride,CO,CO,US,United States,True,False
tenney-mountain-us,Tenney Mountain,NH,NH,US,United States,True,False
